trial,fold,best_val_acc,best_epoch,best_train_loss,best_val_loss,lr,batch_size,base_filters,conv_channels,dropout,hidden
0,1,0.9642857142857143,17,0.27353286577595604,0.17372298453535354,0.0003574712922600243,8,64,"(64, 128)",0.40055750587160444,256
0,2,0.9629629629629629,29,0.25680728871887976,0.2642476337927359,0.0003574712922600243,8,64,"(64, 128)",0.40055750587160444,256
0,3,0.9259259259259259,30,0.14096751805702482,0.271143283005114,0.0003574712922600243,8,64,"(64, 128)",0.40055750587160444,256
0,4,1.0,26,0.21522790808743292,0.14052473063822146,0.0003574712922600243,8,64,"(64, 128)",0.40055750587160444,256
0,5,0.9629629629629629,26,0.34890263179026615,0.16886040457972773,0.0003574712922600243,8,64,"(64, 128)",0.40055750587160444,256
1,1,0.5,1,0.6912380501076028,0.6939769812992641,0.0016967533607196547,8,32,"(32, 64)",0.40592644736118977,256
1,2,0.5185185185185185,3,0.693976239326897,0.6930386909732112,0.0016967533607196547,8,32,"(32, 64)",0.40592644736118977,256
1,3,0.5185185185185185,27,0.6933225130816119,0.6931121989532754,0.0016967533607196547,8,32,"(32, 64)",0.40592644736118977,256
1,4,0.5185185185185185,1,0.7257823555841358,0.6924558568883825,0.0016967533607196547,8,32,"(32, 64)",0.40592644736118977,256
1,5,0.5185185185185185,5,0.6947227716445923,0.6930583075240806,0.0016967533607196547,8,32,"(32, 64)",0.40592644736118977,256
2,1,0.9642857142857143,20,0.3503833407605136,0.26224436291626524,0.000471705203762518,8,48,"(48, 96)",0.13252579649263976,128
2,2,0.9629629629629629,19,0.2287150658325318,0.21338872252791016,0.000471705203762518,8,48,"(48, 96)",0.13252579649263976,128
2,3,0.9259259259259259,22,0.26331515972493985,0.2650381249410135,0.000471705203762518,8,48,"(48, 96)",0.13252579649263976,128
2,4,0.9629629629629629,28,0.15979503573627646,0.19016853471597037,0.000471705203762518,8,48,"(48, 96)",0.13252579649263976,128
2,5,0.9629629629629629,25,0.2931584609211038,0.2079087849016543,0.000471705203762518,8,48,"(48, 96)",0.13252579649263976,128
3,1,0.9285714285714286,26,0.5209454231792026,0.4562291204929352,0.00011300529977555844,32,64,"(64, 128)",0.5661451709558936,64
3,2,0.8148148148148148,22,0.6698416023079409,0.6625664234161377,0.00011300529977555844,32,64,"(64, 128)",0.5661451709558936,64
3,3,0.7777777777777778,13,0.6933484033707085,0.6910656690597534,0.00011300529977555844,32,64,"(64, 128)",0.5661451709558936,64
3,4,0.8888888888888888,27,0.4384482248660621,0.4636320173740387,0.00011300529977555844,32,64,"(64, 128)",0.5661451709558936,64
3,5,0.8148148148148148,18,0.6855390640573764,0.6840970516204834,0.00011300529977555844,32,64,"(64, 128)",0.5661451709558936,64
4,1,0.9642857142857143,18,0.35657963267079107,0.2742833069392613,0.00011407797829608169,16,64,"(64, 128)",0.2673975881116182,256
4,2,0.9259259259259259,29,0.3037114137903266,0.30986554699915425,0.00011407797829608169,16,64,"(64, 128)",0.2673975881116182,256
4,3,0.8888888888888888,27,0.30587075883095416,0.45704393337170285,0.00011407797829608169,16,64,"(64, 128)",0.2673975881116182,256
4,4,0.9259259259259259,24,0.37750651147387443,0.33099454641342163,0.00011407797829608169,16,64,"(64, 128)",0.2673975881116182,256
4,5,0.9259259259259259,5,0.6903924581107743,0.6874500689683137,0.00011407797829608169,16,64,"(64, 128)",0.2673975881116182,256
5,1,0.5,1,0.7080354204884282,0.6935911178588867,0.002818307907349762,8,16,"(16, 32)",0.5926166539044417,256
5,2,0.48148148148148145,1,0.7889077439220673,0.7005336395016423,0.002818307907349762,8,16,"(16, 32)",0.5926166539044417,256
5,3,0.48148148148148145,1,0.7060843186640958,0.6938835492840519,0.002818307907349762,8,16,"(16, 32)",0.5926166539044417,256
5,4,0.5185185185185185,14,0.6946449706313806,0.6931272700980857,0.002818307907349762,8,16,"(16, 32)",0.5926166539044417,256
5,5,0.5185185185185185,1,0.7124655449062313,0.692781560950809,0.002818307907349762,8,16,"(16, 32)",0.5926166539044417,256
6,1,0.9285714285714286,25,0.5334541334046258,0.3958810269832611,0.0006047449165869201,32,64,"(64, 128)",0.39338921565269724,64
6,2,0.9629629629629629,13,0.6652089045682085,0.6289181113243103,0.0006047449165869201,32,64,"(64, 128)",0.39338921565269724,64
6,3,0.8888888888888888,21,0.4182328816947587,0.4524898827075958,0.0006047449165869201,32,64,"(64, 128)",0.39338921565269724,64
6,4,0.9629629629629629,29,0.2843316571974973,0.17242372035980225,0.0006047449165869201,32,64,"(64, 128)",0.39338921565269724,64
6,5,0.9629629629629629,21,0.44512987287219513,0.28110799193382263,0.0006047449165869201,32,64,"(64, 128)",0.39338921565269724,64
7,1,0.9642857142857143,29,0.31516509034015516,0.25668654697281973,0.0003474230108136127,16,16,"(16, 32)",0.1431844609096354,128
7,2,0.9629629629629629,29,0.2785800884076215,0.30353229741255444,0.0003474230108136127,16,16,"(16, 32)",0.1431844609096354,128
7,3,0.8888888888888888,26,0.32366979833042947,0.4168784855692475,0.0003474230108136127,16,16,"(16, 32)",0.1431844609096354,128
7,4,0.9259259259259259,16,0.40683681593028775,0.42848978881482724,0.0003474230108136127,16,16,"(16, 32)",0.1431844609096354,128
7,5,0.9629629629629629,19,0.5412511535740774,0.4070125840328358,0.0003474230108136127,16,16,"(16, 32)",0.1431844609096354,128
8,1,0.9642857142857143,18,0.3583832261738954,0.26078891328402926,0.00024569338078370075,8,32,"(32, 64)",0.42550790158579727,256
8,2,0.9629629629629629,25,0.2684516086490876,0.24550746933177667,0.00024569338078370075,8,32,"(32, 64)",0.42550790158579727,256
8,3,0.8888888888888888,18,0.30967112869844526,0.4019725157154931,0.00024569338078370075,8,32,"(32, 64)",0.42550790158579727,256
8,4,0.9629629629629629,27,0.23660881051776605,0.11794925977786382,0.00024569338078370075,8,32,"(32, 64)",0.42550790158579727,256
8,5,0.9629629629629629,24,0.376891673431484,0.21361358518953677,0.00024569338078370075,8,32,"(32, 64)",0.42550790158579727,256
9,1,1.0,26,0.1976811651278425,0.10305205839020866,0.0010407425581904772,8,48,"(48, 96)",0.2695070722352982,256
9,2,0.5185185185185185,1,0.7024324760524505,0.6924830719276711,0.0010407425581904772,8,48,"(48, 96)",0.2695070722352982,256
9,3,0.5185185185185185,1,0.7174583903146446,0.6925023727946811,0.0010407425581904772,8,48,"(48, 96)",0.2695070722352982,256
9,4,0.9629629629629629,21,0.25067204236984253,0.17544557595694507,0.0010407425581904772,8,48,"(48, 96)",0.2695070722352982,256
9,5,0.8888888888888888,26,0.5958567589794824,0.41962034558808364,0.0010407425581904772,8,48,"(48, 96)",0.2695070722352982,256
