number,value,params_base_filters,params_batch_size,params_dropout,params_hidden,params_lr,user_attrs_fold_scores,user_attrs_mean_val_acc,user_attrs_std_val_acc,state
0,0.8230158730158731,64,8,0.40055750587160444,256,0.0003574712922600243,"[0.8928571428571429, 0.7407407407407407, 0.7777777777777778, 0.8148148148148148, 0.8888888888888888]",0.8230158730158731,0.060166431173082395,COMPLETE
1,0.5074074074074074,32,8,0.40592644736118977,256,0.0016967533607196547,"[0.5, 0.5185185185185185, 0.48148148148148145, 0.5185185185185185, 0.5185185185185185]",0.5074074074074074,0.014814814814814812,COMPLETE
2,0.6772486772486772,48,8,0.13252579649263976,128,0.000471705203762518,"[0.5714285714285714, 0.7407407407407407, 0.7777777777777778, 0.7777777777777778, 0.5185185185185185]",0.6772486772486772,0.11012411209098578,COMPLETE
3,0.7198412698412698,64,32,0.5661451709558936,64,0.00011300529977555844,"[0.8214285714285714, 0.7407407407407407, 0.7407407407407407, 0.8148148148148148, 0.48148148148148145]",0.7198412698412698,0.12412003751474626,COMPLETE
4,0.8306878306878307,64,16,0.2673975881116182,256,0.00011407797829608169,"[0.8571428571428571, 0.7777777777777778, 0.7777777777777778, 0.8148148148148148, 0.9259259259259259]",0.8306878306878307,0.055894656703679386,COMPLETE
5,0.5444444444444445,16,16,0.1426361479066795,256,0.0028228062082734057,"[0.5, 0.48148148148148145, 0.7407407407407407, 0.48148148148148145, 0.5185185185185185]",0.5444444444444445,0.09910435674266407,COMPLETE
6,0.808994708994709,64,16,0.2944434827985071,128,0.00011032449825187138,"[0.7857142857142857, 0.7407407407407407, 0.7777777777777778, 0.8148148148148148, 0.9259259259259259]",0.808994708994709,0.06305848429815697,COMPLETE
7,0.7346560846560846,16,16,0.5359103949481631,64,0.0006039657741850608,"[0.8214285714285714, 0.7407407407407407, 0.6666666666666666, 0.7407407407407407, 0.7037037037037037]",0.7346560846560846,0.05135001730317057,COMPLETE
8,0.6698412698412698,32,32,0.2667278229750218,256,0.0002243505694337218,"[0.5714285714285714, 0.6666666666666666, 0.6666666666666666, 0.8888888888888888, 0.5555555555555556]",0.6698412698412698,0.11895234282663614,COMPLETE
9,0.6407407407407407,48,16,0.265289833992663,256,0.0010407425581904772,"[0.5, 0.7407407407407407, 0.6666666666666666, 0.8148148148148148, 0.48148148148148145]",0.6407407407407407,0.13125959367903223,COMPLETE
