number,value,params_base_filters,params_batch_size,params_dropout,params_hidden,params_lr,user_attrs_fold_scores,user_attrs_mean_val_acc,user_attrs_std_val_acc,state
0,0.8230158730158731,64,8,0.40055750587160444,256,0.0003574712922600243,"[0.8928571428571429, 0.7407407407407407, 0.7777777777777778, 0.8148148148148148, 0.8888888888888888]",0.8230158730158731,0.060166431173082395,COMPLETE
1,0.5074074074074074,32,8,0.40592644736118977,256,0.0016967533607196547,"[0.5, 0.5185185185185185, 0.48148148148148145, 0.5185185185185185, 0.5185185185185185]",0.5074074074074074,0.014814814814814812,COMPLETE
2,0.6772486772486772,48,8,0.13252579649263976,128,0.000471705203762518,"[0.5714285714285714, 0.7407407407407407, 0.7777777777777778, 0.7777777777777778, 0.5185185185185185]",0.6772486772486772,0.11012411209098578,COMPLETE
3,0.8232804232804233,64,16,0.22938999080000846,64,0.00028180680291847244,"[0.8571428571428571, 0.7777777777777778, 0.7407407407407407, 0.8148148148148148, 0.9259259259259259]",0.8232804232804233,0.06424596502290177,COMPLETE
4,0.8010582010582009,16,16,0.14424625102595975,256,0.000642033033629786,"[0.8571428571428571, 0.7407407407407407, 0.7777777777777778, 0.7407407407407407, 0.8888888888888888]",0.8010582010582009,0.061119699801877876,COMPLETE
5,0.8087301587301587,64,16,0.13727532183988542,64,0.00037507963596256056,"[0.8214285714285714, 0.7777777777777778, 0.7407407407407407, 0.7777777777777778, 0.9259259259259259]",0.8087301587301587,0.06392927070668974,COMPLETE
6,0.5664021164021164,16,8,0.5315517129377968,64,0.0001018959297939515,"[0.5357142857142857, 0.5185185185185185, 0.7407407407407407, 0.5185185185185185, 0.5185185185185185]",0.5664021164021164,0.0874233558352037,COMPLETE
7,0.6555555555555556,16,16,0.4803925243084487,128,0.0002879775265707035,"[0.5, 0.7407407407407407, 0.7777777777777778, 0.7777777777777778, 0.48148148148148145]",0.6555555555555556,0.135375310240719,COMPLETE
8,0.7050264550264551,32,8,0.5537832369630465,256,0.0005917520523090669,"[0.8214285714285714, 0.6296296296296297, 0.5185185185185185, 0.7407407407407407, 0.8148148148148148]",0.7050264550264551,0.11605889755840322,COMPLETE
9,0.6460317460317461,16,16,0.5018360384495573,128,0.00021775224101934097,"[0.7857142857142857, 0.7407407407407407, 0.7037037037037037, 0.5185185185185185, 0.48148148148148145]",0.6460317460317461,0.12259157640480109,COMPLETE
