number,value,params_base_filters,params_batch_size,params_dropout,params_hidden,params_lr,user_attrs_fold_scores,user_attrs_mean_val_acc,user_attrs_std_val_acc,state
0,0.9632275132275133,64,8,0.40055750587160444,256,0.0003574712922600243,"[0.9642857142857143, 0.9629629629629629, 0.9259259259259259, 1.0, 0.9629629629629629]",0.9632275132275133,0.02343025378358151,COMPLETE
1,0.5148148148148148,32,8,0.40592644736118977,256,0.0016967533607196547,"[0.5, 0.5185185185185185, 0.5185185185185185, 0.5185185185185185, 0.5185185185185185]",0.5148148148148148,0.0074074074074073955,COMPLETE
2,0.9558201058201059,48,8,0.13252579649263976,128,0.000471705203762518,"[0.9642857142857143, 0.9629629629629629, 0.9259259259259259, 0.9629629629629629, 0.9629629629629629]",0.9558201058201059,0.014955866693230218,COMPLETE
3,0.8449735449735449,64,32,0.5661451709558936,64,0.00011300529977555844,"[0.9285714285714286, 0.8148148148148148, 0.7777777777777778, 0.8888888888888888, 0.8148148148148148]",0.8449735449735449,0.05522958032042282,COMPLETE
4,0.9261904761904762,64,16,0.2673975881116182,256,0.00011407797829608169,"[0.9642857142857143, 0.9259259259259259, 0.8888888888888888, 0.9259259259259259, 0.9259259259259259]",0.9261904761904762,0.02384477108834658,COMPLETE
5,0.5,16,8,0.5926166539044417,256,0.002818307907349762,"[0.5, 0.48148148148148145, 0.48148148148148145, 0.5185185185185185, 0.5185185185185185]",0.5,0.01656346649999844,COMPLETE
6,0.9412698412698413,64,32,0.39338921565269724,64,0.0006047449165869201,"[0.9285714285714286, 0.9629629629629629, 0.8888888888888888, 0.9629629629629629, 0.9629629629629629]",0.9412698412698413,0.029382948945851462,COMPLETE
7,0.941005291005291,16,16,0.1431844609096354,128,0.0003474230108136127,"[0.9642857142857143, 0.9629629629629629, 0.8888888888888888, 0.9259259259259259, 0.9629629629629629]",0.941005291005291,0.029832074833884552,COMPLETE
8,0.9484126984126984,32,8,0.42550790158579727,256,0.00024569338078370075,"[0.9642857142857143, 0.9629629629629629, 0.8888888888888888, 0.9629629629629629, 0.9629629629629629]",0.9484126984126984,0.029766313606423716,COMPLETE
9,0.7777777777777778,48,8,0.2695070722352982,256,0.0010407425581904772,"[1.0, 0.5185185185185185, 0.5185185185185185, 0.9629629629629629, 0.8888888888888888]",0.7777777777777778,0.2146870629065102,COMPLETE
