number,value,params_base_filters,params_batch_size,params_dropout,params_hidden,params_lr,user_attrs_fold_scores,user_attrs_mean_val_acc,user_attrs_std_val_acc,state
0,0.9484126984126984,64,8,0.40055750587160444,256,0.0003574712922600243,"[0.9642857142857143, 0.9629629629629629, 0.9259259259259259, 0.9259259259259259, 0.9629629629629629]",0.9484126984126984,0.018366724822973298,COMPLETE
1,0.5148148148148148,32,8,0.40592644736118977,256,0.0016967533607196547,"[0.5, 0.5185185185185185, 0.5185185185185185, 0.5185185185185185, 0.5185185185185185]",0.5148148148148148,0.0074074074074073955,COMPLETE
2,0.9558201058201059,48,8,0.13252579649263976,128,0.000471705203762518,"[0.9642857142857143, 0.9629629629629629, 0.9259259259259259, 0.9629629629629629, 0.9629629629629629]",0.9558201058201059,0.014955866693230218,COMPLETE
3,0.9484126984126984,64,16,0.22938999080000846,64,0.00028180680291847244,"[0.9642857142857143, 0.9629629629629629, 0.8888888888888888, 0.9629629629629629, 0.9629629629629629]",0.9484126984126984,0.029766313606423716,COMPLETE
4,0.9261904761904761,16,16,0.14424625102595975,256,0.000642033033629786,"[0.9642857142857143, 0.9629629629629629, 0.8888888888888888, 0.8518518518518519, 0.9629629629629629]",0.9261904761904761,0.04706021295356696,COMPLETE
5,0.9558201058201059,64,16,0.13727532183988542,64,0.00037507963596256056,"[0.9642857142857143, 0.9629629629629629, 0.9259259259259259, 0.9629629629629629, 0.9629629629629629]",0.9558201058201059,0.014955866693230218,COMPLETE
6,0.785978835978836,16,8,0.5315517129377968,64,0.0001018959297939515,"[0.8928571428571429, 0.7777777777777778, 0.8148148148148148, 0.9259259259259259, 0.5185185185185185]",0.785978835978836,0.14383459452638814,COMPLETE
7,0.8970899470899472,16,16,0.4803925243084487,128,0.0002879775265707035,"[0.8928571428571429, 0.8888888888888888, 0.8518518518518519, 0.9259259259259259, 0.9259259259259259]",0.8970899470899472,0.02754881703057103,COMPLETE
8,0.889153439153439,32,8,0.5537832369630465,256,0.0005917520523090669,"[0.9642857142857143, 0.8148148148148148, 0.8888888888888888, 0.8148148148148148, 0.9629629629629629]",0.889153439153439,0.06655108818870095,COMPLETE
9,0.9116402116402117,16,16,0.5018360384495573,128,0.00021775224101934097,"[0.9285714285714286, 0.8888888888888888, 0.8518518518518519, 0.9259259259259259, 0.9629629629629629]",0.9116402116402117,0.037992218139716906,COMPLETE
