number,value,params_base_filters,params_batch_size,params_dropout,params_hidden,params_lr,user_attrs_fold_scores,user_attrs_mean_val_acc,user_attrs_std_val_acc,state
0,0.9484126984126984,64,8,0.40055750587160444,256,0.0003574712922600243,"[0.9642857142857143, 0.9629629629629629, 0.9259259259259259, 0.9259259259259259, 0.9629629629629629]",0.9484126984126984,0.018366724822973298,COMPLETE
1,0.5148148148148148,32,8,0.40592644736118977,256,0.0016967533607196547,"[0.5, 0.5185185185185185, 0.5185185185185185, 0.5185185185185185, 0.5185185185185185]",0.5148148148148148,0.0074074074074073955,COMPLETE
2,0.9558201058201059,48,8,0.13252579649263976,128,0.000471705203762518,"[0.9642857142857143, 0.9629629629629629, 0.9259259259259259, 0.9629629629629629, 0.9629629629629629]",0.9558201058201059,0.014955866693230218,COMPLETE
3,0.8968253968253969,48,32,0.10898093780741006,128,0.0001151095194543387,"[0.9285714285714286, 0.8888888888888888, 0.8148148148148148, 0.9259259259259259, 0.9259259259259259]",0.8968253968253969,0.043566537249182885,COMPLETE
4,0.778042328042328,48,16,0.12491901059756781,64,0.0021914469472126643,"[0.9642857142857143, 0.9629629629629629, 0.48148148148148145, 1.0, 0.48148148148148145]",0.778042328042328,0.24250530703697823,COMPLETE
5,0.9187830687830688,16,8,0.590481699431483,128,0.0004945003715146832,"[0.9642857142857143, 0.9629629629629629, 0.8888888888888888, 0.8148148148148148, 0.9629629629629629]",0.9187830687830688,0.059459695041238936,COMPLETE
6,0.9335978835978835,48,32,0.28494262066095877,128,0.0006109567128414679,"[0.9642857142857143, 0.9629629629629629, 0.8518518518518519, 0.9629629629629629, 0.9259259259259259]",0.9335978835978835,0.04337656363822131,COMPLETE
7,0.9113756613756614,64,16,0.5359103949481631,64,0.00013925562809460624,"[0.9642857142857143, 0.9259259259259259, 0.8518518518518519, 0.8888888888888888, 0.9259259259259259]",0.9113756613756614,0.0381356340789257,COMPLETE
8,0.7706349206349206,32,8,0.24164799249807567,128,0.0008230392342070549,"[0.9642857142857143, 0.5185185185185185, 0.9259259259259259, 0.9629629629629629, 0.48148148148148145]",0.7706349206349206,0.22171079976491517,COMPLETE
9,0.941005291005291,16,8,0.44982048892163795,128,0.00030782350710526943,"[0.9642857142857143, 0.9629629629629629, 0.8888888888888888, 0.9259259259259259, 0.9629629629629629]",0.941005291005291,0.029832074833884552,COMPLETE
